conservation_unit;species;station;date;time
Bebedouro;Dasypus;183;05/11/2014;00:02:29
Bebedouro;Dasypus;186;18/10/2014;00:12:24
Bebedouro;Dasypus;183;04/12/2014;04:00:20
Bebedouro;Dasypus;183;07/12/2014;03:33:39
Bebedouro;Dasypus;183;11/12/2014;21:10:36
Bebedouro;Dasypus;184;17/10/2014;21:48:32
Bebedouro;Dasypus;186;07/12/2014;20:32:00
Bebedouro;Dasypus;186;13/12/2014;19:04:14
Bebedouro;Dasypus;186;14/12/2014;23:48:52
Bebedouro;Dasypus;186;17/10/2014;22:26:24
Bebedouro;Dasypus;186;18/10/2014;00:16:16
Bebedouro;Dasypus;186;20/10/2014;21:13:02
Bebedouro;Dasypus;186;21/10/2014;22:25:27
Bebedouro;Dasypus;186;23/10/2014;21:44:30
Bebedouro;Dasypus;186;27/10/2014;18:10:32
Bebedouro;Dasypus;186;31/10/2014;02:34:18
Bebedouro;Dasypus;186;03/11/2014;22:33:05
Bebedouro;Dasypus;186;09/11/2014;18:00:24
Bebedouro;Dasypus;186;10/11/2014;21:57:06
Bebedouro;Dasypus;186;12/11/2014;21:49:15
Bebedouro;Dasypus;186;12/11/2014;23:40:10
Bebedouro;Dasypus;186;15/11/2014;03:45:00
Bebedouro;Dasypus;186;18/11/2014;20:19:26
Bebedouro;Dasypus;186;20/11/2014;03:20:55
Bebedouro;Dasypus;186;21/11/2014;22:08:22
Bebedouro;Dasypsu;186;30/11/2014;22:19:47
Bebedouro;Dasypus;186;01/12/2014;19:17:08
Bebedouro;Dasypus;186;02/12/2014;23:27:53
Bebedouro;Dasypus;186;11/12/2014;19:23:03
Jatai;Dasypus;9;29/01/2014;22:03:26
Jatai;Dasypus;11;23/01/2014;20:08:30
Jatai;Dasypus;15;31/01/2014;20:19:51
Jatai;Dasypus;17;20/02/2014;23:32:39
Jatai;Dasypus;17;26/03/2014;23:15:05
Jatai;Cabassous;17;25/01/2014;17:56:13
Jatai;Cabassous;17;07/03/2014;06:43:12
