Conservation unit;Species;Mestre;Station;Date;Time
Bebedouro;Dasypus;0;183;05/11/2014;00:02:29
Bebedouro;Dasypus;0;186;18/10/2014;00:12:24
Bebedouro;Dasypus;0;183;04/12/2014;04:00:20
Bebedouro;Dasypus;0;183;07/12/2014;03:33:39
Bebedouro;Dasypus;0;183;11/12/2014;21:10:36
Bebedouro;Dasypus;0;184;17/10/2014;21:48:32
Bebedouro;Dasypus;0;186;07/12/2014;20:32:00
Bebedouro;Dasypus;0;186;13/12/2014;19:04:14
Bebedouro;Dasypus;0;186;14/12/2014;23:48:52
Bebedouro;Dasypus;0;186;17/10/2014;22:26:24
Bebedouro;Dasypus;0;186;18/10/2014;00:16:16
Bebedouro;Dasypus;0;186;20/10/2014;21:13:02
Bebedouro;Dasypus;0;186;21/10/2014;22:25:27
Bebedouro;Dasypus;0;186;23/10/2014;21:44:30
Bebedouro;Dasypus;0;186;27/10/2014;18:10:32
Bebedouro;Dasypus;0;186;31/10/2014;02:34:18
Bebedouro;Dasypus;0;186;03/11/2014;22:33:05
Bebedouro;Dasypus;0;186;09/11/2014;18:00:24
Bebedouro;Dasypus;0;186;10/11/2014;21:57:06
Bebedouro;Dasypus;0;186;12/11/2014;21:49:15
Bebedouro;Dasypus;0;186;12/11/2014;23:40:10
Bebedouro;Dasypus;0;186;15/11/2014;03:45:00
Bebedouro;Dasypus;0;186;18/11/2014;20:19:26
Bebedouro;Dasypus;0;186;20/11/2014;03:20:55
Bebedouro;Dasypus;0;186;21/11/2014;22:08:22
Bebedouro;Dasypsu;0;186;30/11/2014;22:19:47
Bebedouro;Dasypus;0;186;01/12/2014;19:17:08
Bebedouro;Dasypus;0;186;02/12/2014;23:27:53
Bebedouro;Dasypus;0;186;11/12/2014;19:23:03
Jataí;Dasypus;0;9;29/01/2014;22:03:26
Jataí;Dasypus;0;11;23/01/2014;20:08:30
Jataí;Dasypus;0;15;31/01/2014;20:19:51
Jataí;Dasypus;0;17;20/02/2014;23:32:39
Jataí;Dasypus;0;17;26/03/2014;23:15:05
Jataí;Cabassous;0;17;25/01/2014;17:56:13
Jataí;Cabassous;0;17;07/03/2014;06:43:12
Jataí;Dasypus;0;17;29/01/2014;00:18:24
Jataí;Dasypus;0;17;29/01/2014;20:39:17
Jataí;Dasypus;0;17;18/03/2014;22:15:19
Jataí;Dasypus;0;17;21/03/2014;11:53:35
Jataí;Dasypus;0;17;22/03/2014;21:26:46
Jataí;Dasypus;0;17;06/04/2014;23:14:09
Jataí;Dasypus;0;18;07/02/2014;23:18:12
Jataí;Dasypus;0;19;31/01/2014;21:49:41
Jataí;Cabassous;0;21;16/12/2014;00:59:31
Jataí;Cabassous;0;21;24/12/2014;00:49:38
Jataí;Cabassous;0;22;05/12/2014;02:19:37
Jataí;Cabassous;0;22;07/12/2014;19:10:36
Jataí;Cabassous;0;22;11/12/2014;17:22:17
Jataí;Cabassous;0;22;12/12/2014;17:50:02
Jataí;Dasypus;0;26;27/11/2014;22:19:09
Jataí;Dasypus;0;23;27/11/2014;19:33:10
Jataí;Dasypus;0;26;08/12/2014;01:01:58
Jataí;Dasypus;0;29;11/12/2014;19:43:21
Jataí;Dasypus;0;30;03/12/2014;22:26:41
Jataí;Dasypus;0;30;17/12/2014;20:26:13
Jataí;Dasypus;0;38;19/05/2014;20:39:26
Jataí;Dasypus;0;39;15/06/2014;19:37:02
Jataí;Dasypus;0;42;01/05/2014;00:19:56
Jataí;Dasypus;0;42;09/05/2014;02:41:01
Jataí;Dasypus;0;43;03/04/2014;23:52:58
Jataí;Dasypus;0;44;14/07/2014;18:53:12
Jataí;Dasypus;0;48;02/06/2014;00:11:18
Santa Bárbara;Cabassous;0;240;02/10/2014;01:46:32
Santa Bárbara;Cabassous;0;240;03/10/2014;04:00:32
Santa Bárbara;Dasypus;0;149;23/12/2014;22:21:08
